name,faction,bounty,devil_fruit,fruit_type,gender,age,affiliations,pirate
Page One,Beasts Pirates,290000000,"Ryu Ryu no Mi, Model: Spinosaurus",Ancient Zoan,Male,20,Beasts Pirates,True
Who's-Who,Beasts Pirates,546000000,"Neko Neko no Mi, Model: Saber Tiger",Ancient Zoan,Male,38,Beasts Pirates,True
Sasaki,Beasts Pirates,472000000,"Ryu Ryu no Mi, Model: Triceratops",Ancient Zoan,Male,34,Beasts Pirates,True
Black Maria,Beasts Pirates,480000000,"Kumo Kumo no Mi, Model: Rosamygale Grauvogeli",Ancient Zoan,Female,29,Beasts Pirates,True
Charlotte Linlin,Big Mom Pirates,4388000000,Soru Soru no Mi,Paramecia,Female,68,Big Mom Pirates,True
Katakuri,Big Mom Pirates,1057000000,Mochi Mochi no Mi,Special Paramecia,Male,48,Big Mom Pirates,True
Smoothie,Big Mom Pirates,932000000,Shibo Shibo no Mi,Paramecia,Female,35,Big Mom Pirates,True
Cracker,Big Mom Pirates,860000000,Bisu Bisu no Mi,Paramecia,Male,45,Big Mom Pirates,True
Perospero,Big Mom Pirates,700000000,Pero Pero no Mi,Paramecia,Male,50,Big Mom Pirates,True
Oven,Big Mom Pirates,300000000,Netsu Netsu no Mi,Paramecia,Male,48,Big Mom Pirates,True
Daifuku,Big Mom Pirates,300000000,Hoya Hoya no Mi,Paramecia,Male,48,Big Mom Pirates,True
Brulee,Big Mom Pirates,0,Mira Mira no Mi,Paramecia,Female,43,Big Mom Pirates,True
Trafalgar Law,Heart Pirates,3000000000,Ope Ope no Mi,Paramecia,Male,26,Heart Pirates; Worst Generation,True
Bepo,Heart Pirates,500000,,None,Male,22,Heart Pirates,True
Shachi,Heart Pirates,0,,None,Male,24,Heart Pirates,True
Penguin,Heart Pirates,0,,None,Male,24,Heart Pirates,True
Eustass Kid,Kid Pirates,3000000000,Jiki Jiki no Mi,Paramecia,Male,23,Kid Pirates; Worst Generation,True
Killer,Kid Pirates,200000000,,None,Male,27,Kid Pirates,True
Boa Hancock,Kuja Pirates,1659000000,Mero Mero no Mi,Paramecia,Female,31,Kuja Pirates,True
Silvers Rayleigh,Roger Pirates,0,,None,Male,78,Roger Pirates,True
Gol D. Roger,Roger Pirates,5564800000,,None,Male,53,Roger Pirates,True
Scopper Gaban,Roger Pirates,0,,None,Male,55,Roger Pirates,True
Kozuki Oden,Roger Pirates,0,,None,Male,39,Roger Pirates,True
Buggy,Cross Guild,3189000000,Bara Bara no Mi,Paramecia,Male,39,Cross Guild,True
Dracule Mihawk,Cross Guild,3590000000,,None,Male,43,Cross Guild,True
Crocodile,Cross Guild,1965000000,Suna Suna no Mi,Logia,Male,46,Cross Guild,True
Daz Bones,Cross Guild,75000000,Supa Supa no Mi,Paramecia,Male,29,Cross Guild,True
Sakazuki,Marines,0,Magu Magu no Mi,Logia,Male,55,Marines,False
Borsalino,Marines,0,Pika Pika no Mi,Logia,Male,58,Marines,False
Issho,Marines,0,Zushi Zushi no Mi,Paramecia,Male,54,Marines,False
Ryokugyu,Marines,0,Mori Mori no Mi,Logia,Male,41,Marines,False
Monkey D. Garp,Marines,0,,None,Male,78,Marines,False
Sengoku,Marines,0,"Hito Hito no Mi, Model: Daibutsu",Mythical Zoan,Male,79,Marines,False
Tsuru,Marines,0,Woshu Woshu no Mi,Paramecia,Female,76,Marines,False
Smoker,Marines,0,Moku Moku no Mi,Logia,Male,36,Marines,False
Tashigi,Marines,0,,None,Female,23,Marines,False
Koby,Marines,0,,None,Male,18,Marines,False
Helmeppo,Marines,0,,None,Male,22,Marines,False
Hina,Marines,0,Ori Ori no Mi,Paramecia,Female,34,Marines,False
X Drake,Marines,0,"Ryu Ryu no Mi, Model: Allosaurus",Ancient Zoan,Male,33,SWORD; Marines,False
Prince Grus,Marines,0,Gunyo Gunyo no Mi,Paramecia,Male,29,SWORD; Marines,False
Hibari,Marines,0,,None,Female,17,SWORD; Marines,False
T Bone,Marines,0,,None,Male,36,Marines,False
John Giant,Marines,0,,None,Male,45,Marines,False
Onigumo,Marines,0,,None,Male,44,Marines,False
Momonga,Marines,0,,None,Male,48,Marines,False
Doberman,Marines,0,,None,Male,49,Marines,False
Ace,Whitebeard Pirates,550000000,Mera Mera no Mi,Logia,Male,20,Whitebeard Pirates,True
Whitebeard,Whitebeard Pirates,5046000000,Gura Gura no Mi,Paramecia,Male,72,Whitebeard Pirates,True
Marco,Whitebeard Pirates,1374000000,"Tori Tori no Mi, Model: Phoenix",Mythical Zoan,Male,45,Whitebeard Pirates,True
Jozu,Whitebeard Pirates,510000000,Kira Kira no Mi,Paramecia,Male,42,Whitebeard Pirates,True
Vista,Whitebeard Pirates,0,,None,Male,47,Whitebeard Pirates,True
Izo,Whitebeard Pirates,510000000,,None,Male,45,Whitebeard Pirates,True
Thatch,Whitebeard Pirates,0,,None,Male,35,Whitebeard Pirates,True
Yamato,Wano,0,"Inu Inu no Mi, Model: Okuchi no Makami",Mythical Zoan,Female,28,Wano,True
Momonosuke,Wano,0,Artificial Uo Uo no Mi,Artificial Zoan,Male,8,Wano,True
Kinemon,Wano,0,Fuku Fuku no Mi,Paramecia,Male,36,Wano,True
Kanjuro,Wano,0,Fude Fude no Mi,Paramecia,Male,39,Wano,True
Raizo,Wano,0,,None,Male,35,Wano,True
Carrot,Mokomo Dukedom,0,,None,Female,15,Mink Tribe,True
Pedro,Mokomo Dukedom,382000000,,None,Male,32,Mink Tribe,True
Enel,Skypiea,500000000,Goro Goro no Mi,Logia,Male,39,God's Army,True
Rob Lucci,CP0,0,"Neko Neko no Mi, Model: Leopard",Zoan,Male,30,Cipher Pol,False
Kaku,CP0,0,"Ushi Ushi no Mi, Model: Giraffe",Zoan,Male,25,Cipher Pol,False
Stussy,CP0,0,"Batto Batto no Mi, Model: Vampire",Mythical Zoan,Female,36,Cipher Pol,False
Blueno,CP9,0,Doa Doa no Mi,Paramecia,Male,30,Cipher Pol,False
Kalifa,CP9,0,Awa Awa no Mi,Paramecia,Female,27,Cipher Pol,False
Kumadori,CP9,0,,None,Male,34,Cipher Pol,False
Fukuro,CP9,0,,None,Male,31,Cipher Pol,False
Spandam,World Government,0,,None,Male,39,World Government,False
Bartholomew Kuma,Revolutionary Army,296000000,Nikyu Nikyu no Mi,Paramecia,Male,47,Revolutionary Army,True
Emporio Ivankov,Revolutionary Army,0,Horu Horu no Mi,Paramecia,Male,53,Revolutionary Army,True
Sabo,Revolutionary Army,602000000,Mera Mera no Mi,Logia,Male,22,Revolutionary Army,True
Koala,Revolutionary Army,0,,None,Female,23,Revolutionary Army,True
Dragon,Revolutionary Army,0,,Unknown,Male,55,Revolutionary Army,True
Jewelry Bonney,Bonney Pirates,320000000,Toshi Toshi no Mi,Paramecia,Female,24,Worst Generation,True
Basil Hawkins,Hawkins Pirates,320000000,Wara Wara no Mi,Paramecia,Male,31,Worst Generation,True
Capone Bege,Fire Tank Pirates,350000000,Shiro Shiro no Mi,Paramecia,Male,42,Worst Generation,True
Scratchmen Apoo,On Air Pirates,350000000,Oto Oto no Mi,Paramecia,Male,31,Worst Generation,True
Urouge,Fallen Monk Pirates,108000000,,None,Male,47,Worst Generation,True
